Family,Method,Source Key,Dist-1 ↑,Self-BLEU ↓,Dist-2 ↑,V-EE ↑,Topic Cov ↑,Topic Ent ↑,Vendi ↑,Gzip ↑,Pairwise Dist ↑
GPT-5.4,M1,M1 GPT-5.4,0.0780 ± 0.0011,0.7726 ± 0.0083,0.2377 ± 0.0034,5.7598 ± 0.0080,71.00 ± 1.98,3.0661 ± 0.0208,48.6980 ± 0.4664,0.1803 ± 0.0021,0.7139 ± 0.0014
GPT-5.4,M2,M4 GPT-5.4,0.0747 ± 0.0011,0.5652 ± 0.0125,0.2978 ± 0.0038,5.8019 ± 0.0047,84.80 ± 1.89,2.8440 ± 0.0285,62.3733 ± 0.6447,0.1986 ± 0.0013,0.7755 ± 0.0015
GPT-5.4,Med-Rag,Med-Rag-gpt-5.4,0.1050 ± 0.0011,0.4516 ± 0.0066,0.4219 ± 0.0030,6.0808 ± 0.0016,76.94 ± 1.98,3.0916 ± 0.0221,53.2631 ± 0.3401,0.2897 ± 0.0012,0.6342 ± 0.0012
GPT-5.4,Self-Instruct,Self-instruct_gpt-5.4,0.1435 ± 0.0014,0.2498 ± 0.0068,0.5659 ± 0.0032,6.0852 ± 0.0012,86.92 ± 2.35,3.3791 ± 0.0187,91.2044 ± 0.5538,0.2987 ± 0.0012,0.7451 ± 0.0011
GPT-5.4,WizardLM,WizardLM-gpt-5.4,0.0989 ± 0.0012,0.5624 ± 0.0099,0.3396 ± 0.0036,5.9814 ± 0.0030,83.48 ± 1.77,3.3406 ± 0.0189,64.3923 ± 0.6891,0.2471 ± 0.0019,0.7059 ± 0.0022
GPT-5.4,Stratified Sampling,Ours-gpt-5.4-stratifiedL2,0.1540 ± 0.0013,0.2621 ± 0.0102,0.5813 ± 0.0040,6.0646 ± 0.0020,97.78 ± 1.55,3.6508 ± 0.0125,102.5890 ± 0.6104,0.2983 ± 0.0013,0.7928 ± 0.0011
GPT-5.4,Global Sampling,global_gmm_gpt5.4,0.0834 ± 0.0010,0.7396 ± 0.0114,0.2710 ± 0.0032,5.7536 ± 0.0072,93.34 ± 1.93,3.5103 ± 0.0175,76.7512 ± 0.5336,0.1896 ± 0.0022,0.8020 ± 0.0011
