Family,Method,Source Key,Dist-1 ↑,Self-BLEU ↓,Dist-2 ↑,V-EE ↑,Topic Cov ↑,Topic Ent ↑,Vendi ↑,Gzip ↑,Pairwise Dist ↑
Qwen3.5-Flash,M1,M1 Qwen3.5-f,0.1278 ± 0.0014,0.4610 ± 0.0102,0.4508 ± 0.0043,6.0096 ± 0.0030,76.76 ± 2.66,3.0972 ± 0.0198,69.2418 ± 0.5721,0.2616 ± 0.0016,0.7270 ± 0.0013
Qwen3.5-Flash,M2,M4 Qwen3.5-f,0.1385 ± 0.0020,0.4054 ± 0.0125,0.4640 ± 0.0056,5.9702 ± 0.0038,92.36 ± 1.40,3.4441 ± 0.0160,101.1462 ± 0.9407,0.2632 ± 0.0022,0.8349 ± 0.0010
Qwen3.5-Flash,Med-Rag,Med-Rag-qwen3.5-f,0.1183 ± 0.0011,0.3113 ± 0.0051,0.5123 ± 0.0024,6.1018 ± 0.0011,75.28 ± 1.74,3.0585 ± 0.0202,55.8124 ± 0.3439,0.2923 ± 0.0008,0.6342 ± 0.0011
Qwen3.5-Flash,Self-Instruct,Self-instruct_qwen3.5-f,0.2315 ± 0.0021,0.1086 ± 0.0048,0.7410 ± 0.0031,6.1261 ± 0.0011,83.02 ± 2.35,3.3085 ± 0.0199,108.2721 ± 0.5701,0.3251 ± 0.0012,0.7668 ± 0.0010
Qwen3.5-Flash,WizardLM,WizardLM-qwen3.5-f,0.1294 ± 0.0014,0.3580 ± 0.0095,0.5164 ± 0.0033,6.0482 ± 0.0020,85.02 ± 1.29,3.3265 ± 0.0211,74.1046 ± 0.6906,0.2780 ± 0.0014,0.7190 ± 0.0019
Qwen3.5-Flash,Stratified Sampling,Ours-qwen3.5f-stratifiedL2,0.1637 ± 0.0017,0.2316 ± 0.0085,0.6178 ± 0.0042,6.0763 ± 0.0015,93.64 ± 0.77,3.6318 ± 0.0133,101.4140 ± 0.6486,0.3044 ± 0.0014,0.7836 ± 0.0011
Qwen3.5-Flash,Global Sampling,global_gmm_qwen3.5-f,0.1043 ± 0.0010,0.5696 ± 0.0121,0.3736 ± 0.0034,5.9135 ± 0.0034,94.54 ± 1.30,3.5505 ± 0.0147,82.4772 ± 0.4890,0.2233 ± 0.0018,0.7911 ± 0.0010
