Family,Method,Source Key,MMD ↓,FBD ↓,KL ↓
GPT-5.4,M1,M1 GPT-5.4,0.000221 ± 0.000004,0.5282 ± 0.0060,0.6053 ± 0.0197
GPT-5.4,M2,M4 GPT-5.4,0.000380 ± 0.000006,0.5784 ± 0.0051,0.4820 ± 0.0262
GPT-5.4,Med-Rag,Med-Rag-gpt-5.4,0.000382 ± 0.000004,0.4017 ± 0.0024,0.1669 ± 0.0146
GPT-5.4,Self-Instruct,Self-instruct_gpt-5.4,0.000161 ± 0.000002,0.3435 ± 0.0023,0.3677 ± 0.0248
GPT-5.4,WizardLM,WizardLM-gpt-5.4,0.000275 ± 0.000006,0.4414 ± 0.0037,0.4008 ± 0.0331
GPT-5.4,Stratified Sampling,Ours-gpt-5.4-stratifiedL2,0.000052 ± 0.000002,0.2426 ± 0.0026,0.0920 ± 0.0108
GPT-5.4,Global Sampling,global_gmm_gpt5.4,0.000070 ± 0.000003,0.3845 ± 0.0048,0.1883 ± 0.0155
