Family,Method,Source Key,Dist-1 ↑,Self-BLEU ↓,Dist-2 ↑,V-EE ↑,Topic Cov ↑,Topic Ent ↑,Vendi ↑,Gzip ↑,Pairwise Dist ↑
Gemini-3-Flash,M1,M1 Gemini3-f,0.1086 ± 0.0014,0.6211 ± 0.0106,0.3334 ± 0.0042,5.9517 ± 0.0042,77.18 ± 2.05,3.0909 ± 0.0190,61.8908 ± 0.6479,0.2240 ± 0.0019,0.7151 ± 0.0012
Gemini-3-Flash,M2,M4 Gemini3-f,0.0889 ± 0.0016,0.5793 ± 0.0125,0.3020 ± 0.0044,5.8477 ± 0.0052,88.64 ± 2.51,3.3299 ± 0.0167,75.0980 ± 0.7934,0.2057 ± 0.0017,0.8088 ± 0.0011
Gemini-3-Flash,Med-Rag,Med-Rag-gemini3-f,0.1245 ± 0.0010,0.3641 ± 0.0050,0.4788 ± 0.0026,6.1034 ± 0.0011,75.36 ± 1.77,3.0231 ± 0.0246,62.0391 ± 0.4134,0.2997 ± 0.0009,0.6590 ± 0.0012
Gemini-3-Flash,Self-Instruct,Self-instruct_gemini3-f,0.2023 ± 0.0014,0.1828 ± 0.0059,0.6429 ± 0.0028,6.1227 ± 0.0008,78.62 ± 1.90,3.2316 ± 0.0176,97.3710 ± 0.5494,0.3224 ± 0.0010,0.7435 ± 0.0011
Gemini-3-Flash,WizardLM,WizardLM-gemini3-f,0.1339 ± 0.0013,0.3582 ± 0.0095,0.4980 ± 0.0028,6.0462 ± 0.0019,81.80 ± 1.81,3.1687 ± 0.0197,68.8536 ± 0.5102,0.2813 ± 0.0014,0.6993 ± 0.0017
Gemini-3-Flash,Stratified Sampling,Ours-gemini3f-stratifiedL2,0.1653 ± 0.0015,0.2527 ± 0.0092,0.5831 ± 0.0037,6.0807 ± 0.0014,92.74 ± 1.23,3.6579 ± 0.0132,99.8834 ± 0.5941,0.3042 ± 0.0015,0.7758 ± 0.0011
Gemini-3-Flash,Global Sampling,global_gmm_gemini3-f,0.0961 ± 0.0010,0.6363 ± 0.0111,0.3226 ± 0.0032,5.8909 ± 0.0046,91.20 ± 1.06,3.5143 ± 0.0157,78.6103 ± 0.4577,0.2173 ± 0.0021,0.7777 ± 0.0011
